"IOBS","WAVE","QUARTER","COMPETITION","SC_NAME","Q1a_1","Q1a_2","Q1b_1","Q1b_2","Q1b_3","Q1b_4","Q1b_5","Q2b_1","Q2b_2","Q2b_3","Q2c_1","Q2c_2","Q2c_3","Q2d_1","Q2d_2","Q2d_3","Q2d_4","Q2e_1","Q2e_2","Q2e_3","Q2e_4","Q2f_1","Q2f_2","Q2f_3","Q2g_1","Q2g_2","Q2h_1","Q2h_2","Q2h_3","Q2h_4","Q2h_5","Q2i_1_1","Q2i_1_2","Q2i_1_3","Q2i_1_4","Q2i_1_5","Q2i_1_6","Q2i_1_7","Q2i_1_8","Q2i_2_1","Q2i_2_2","Q2i_2_3","Q2k_1_1","Q2k_1_2","Q2l_1","Q2l_2","Q2m_1","Q2m_2","Q2m_3","Q2m_4","Q2m_5","Q3a_1","Q3a_2","Q3a_3","Q3b_1","Q3b_2","Q3b_3","Q3b_4","Q3b_5","Q3d_1","Q3d_2","Q3d_3","Q3d_4","Q3d_5","Q3e_1","Q3e_2","Q3e_3","Q3e_4","Q3f_1","Q3f_2","Q3f_3","Q3f_4","Q3g_1","Q3g_2","Q3g_3","Q3g_4","Q3h_1","Q3h_2","Q3h_3","Q3i_1","Q3i_2","Q5a_1","Q5a_2","Q5b_1","Q5b_2","Q5b_3","Q5e_1","Q5e_2","Q5e_3","Q5e_4","Q5e_5","iQ1a","iQ1b","iGREETING","wGREETING","iQ2b","iQ2c","iQ2d","iQ2e","iQ2f","iQ2g","iQ2h","iQ2i_1","iQ2i_2","iQ2k_1","iQ2l","iQ2m","iAGENTGREETING","wAGENTGREETING","iQ3a","iQ3b","iQ3d","iQ3e","iQ3f","iQ3g","iQ3h","iQ3i","iINTERACTION","wINTERACTION","iQ5a","iQ5b","iQ5e","iIMPRESSION","wIMPRESSION","iOverallScore","wOverallScore","BAN1_1","BAN1_2","BAN1_3","BAN1_4","BAN1_5","BAN1_6","BAN1_7","BAN1_8","BAN1_9","BAN1_10","BAN1_11","BAN1_12","BAN1_13","BAN1_14","BAN1_15","BAN1_16","BAN1_17","BAN1_18","BAN2_1","BAN2_2","BAN2_3","BAN3_1","BAN3_2","BAN3_3","BAN3_4","BAN3_5","BAN3_6","BAN3_7","BAN3_8"
216860074,1,1,1,12,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0, , ,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,100, ,1,100.0000,100,100,100,100,100,100,20,55,100,100, ,75,11,86.3636,100,100,100,100,75,100,100,100,8,96.8750,0,0,75,1,75.0000,12,87.5000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,
217132889,1,1,1,19,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,1,0,0,100, ,1,100.0000,100,100,100,100,100,100,40,100,100,100, ,100,11,94.5455,0,0,0,0,0,0,0,0,8,0.0000,0,0,50,1,50.0000,12,95.0000, , , , , , , , , , , , , , , , , , ,1,0,0,1,0,1,0,0,0,0,0,
217134273,1,1,1,19,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,1,0,0,0,1,0,0,0,100, ,1,100.0000,100,100,100,50,100,100,40,100,100,100, ,100,11,90.0000,0,0,0,0,0,0,0,0,8,0.0000,100,100,75,1,75.0000,12,90.8333, , , , , , , , , , , , , , , , , , ,1,0,0,1,0,1,0,0,0,0,0,
218313828,2,1,1,14,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0, , ,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,100, ,1,100.0000,100,100,100,100,100,100,20,60,100,100, ,100,11,89.0909,100,100,100,100,100,100,100,100,8,100.0000,100,100,75,1,75.0000,12,90.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,
218334126,2,1,1,6,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0, , ,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,100, ,1,100.0000,100,100,100,100,50,100,20,60,50, ,100,100,11,80.0000,100,100,50,100,0,100,50,100,8,75.0000,0,0,75,1,75.0000,12,81.6667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,
218344767,2,1,1,9,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0, , ,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,100, ,1,100.0000,100,100,100,50,100,100,20,15,50, ,100,100,11,75.9091,100,100,50,100,75,50,100,100,8,84.3750,100,50,75,1,75.0000,12,77.9167,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,
218357499,2,1,1,8,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,100, ,1,100.0000,100,100,100,100,100,100,20,100,100,100, ,75,11,90.4545,100,100,50,25,0,50,100,100,8,65.6250,100,100,75,1,75.0000,12,91.2500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,
219396611,3,1,1,19,1,0, , , , , ,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0, , ,1,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,1,0,0,0,0,100, ,1,100.0000,100,50,100,100,100,100,20,45,100,100, ,25,11,76.3636,0,0,0,0,0,0,0,0,8,0.0000,0,0,100,1,100.0000,12,78.3333, , , , , , , , , , , , , , , , , , ,1,0,0,1,0,1,0,0,0,0,0,
219590944,3,1,1,7,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0, , ,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,100, ,1,100.0000,100,100,100,100,100,100,100,55,50, ,100,50,11,86.8182,100,100,100,100,75,100,100,100,8,96.8750,100,50,75,1,75.0000,12,87.9167,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,
219691585,3,1,1,4,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0, , ,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,100, ,1,100.0000,100,100,100,25,100,100,80,70,100,100, ,25,11,81.8182,100,100,100,100,75,100,100,100,8,96.8750,0,0,75,1,75.0000,12,83.3333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,
220849598,4,2,1,17,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,100, ,1,100.0000,100,100,100,100,100,100,60,100,100,100, ,100,11,96.3636,100,100,100,100,75,100,100,100,8,96.8750,100,100,100,1,100.0000,12,96.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,
220857656,4,2,1,3,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0, , ,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,100, ,1,100.0000,100,100,100,100,100,100,80,40,100,100, ,100,11,92.7273,100,100,100,100,100,50,100,100,8,93.7500,0,0,75,1,75.0000,12,93.3333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,
221175693,4,2,1,7,1,0, , , , , ,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0, , ,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,100, ,1,100.0000,50,50,100,100,100,100,40,40,50, ,100,100,11,75.4545,100,100,50,100,75,100,100,100,8,90.6250,100,100,75,1,75.0000,12,77.5000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,
221861671,5,2,1,19,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0, , ,0,1,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,1,0,0,0,100, ,1,100.0000,100,100,100,100,100,100,20,55,100,100, ,75,11,86.3636,100,0,0,0,0,0,0,0,8,12.5000,0,0,75,1,75.0000,12,87.5000, , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,1,0,0,0,0,
222291742,5,2,1,19,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0, , ,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,1,0,0,0,100, ,1,100.0000,100,100,100,50,100,100,20,70,100,100, ,100,11,85.4545,0,0,0,0,0,0,0,0,8,0.0000,0,0,75,1,75.0000,12,86.6667, , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,1,0,0,0,0,
222297248,5,2,1,18,1,0, , , , , ,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,100, ,1,100.0000,100,100,50,100,100,100,40,100,100,100, ,100,11,90.0000,100,100,50,25,50,100,0,100,8,65.6250,100,0,75,1,75.0000,12,90.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,
223168356,6,2,1,19,1,0, , , , , ,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0, , ,0,0,0,1,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,1,0,0,0,1,0,0,0,100, ,1,100.0000,100,50,100,0,100,100,20,45,100,100, ,50,11,69.5455,100,0,0,0,0,0,0,0,8,12.5000,100,100,75,1,75.0000,12,72.0833, , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,1,0,0,0,0,
223190918,6,2,1,19,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0, , ,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,1,0,0,0,100, ,1,100.0000,100,100,100,50,100,100,20,45,100,100, ,100,11,83.1818,0,0,0,0,0,0,0,0,8,0.0000,0,0,75,1,75.0000,12,84.5833, , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,1,0,0,0,0,
224225510,7,3,2,4,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0, , ,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,100, ,1,100.0000,100,100,100,100,50,100,20,100,50, ,100,50,11,79.0909,100,100,50,100,100,100,100,100,8,93.7500,0,0,100,1,100.0000,12,80.8333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , ,
224871388,7,3,2,19,1,0, , , , , ,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1, , ,0,0,0,1,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,1,0,0,100, ,1,100.0000,100,50,50,25,50,100,20,0,100,0, ,50,11,49.5455,0,0,0,0,0,0,0,0,8,0.0000,0,0,50,1,50.0000,12,53.7500, , , , , , , , , , , , , , , , , , ,1,0,0, , , , , , , , ,
225106645,7,3,2,4,1,0, , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,100, ,1,100.0000,100,100,100,100,100,100,20,85,100,100, ,50,11,86.8182,100,100,100,100,75,100,100,100,8,96.8750,100,50,75,1,75.0000,12,87.9167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , ,
217173458,1,1,1,19, , , , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0, , ,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0, , , , ,100,100,100,100,100,100,60,60,100,100, ,100,11,92.7273,100,100,50,100,75,100,100,100,8,90.6250,0,0, ,0, ,11,92.7273, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,0,0,
217393238,1,1,1,12, , , , , , , ,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0, , , , ,100,100,100,25,100,100,60,100,100,100, ,100,11,89.5455,100,100,50,100,0,25,50,100,8,65.6250,100,100, ,0, ,11,89.5455, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,0,0,
217442460,1,1,1,1, , , , , , , ,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0, , ,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0, , , , ,100,100,100,50,50,100,20,15,50, ,100,100,11,71.3636,100,100,50,100,25,50,50,100,8,71.8750,0,0, ,0, ,11,71.3636, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,0,0,
218319446,2,1,1,12, , , , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0, , ,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0, , , , ,100,100,100,100,100,100,20,70,50, ,100,75,11,83.1818,100,100,100,100,75,100,100,100,8,96.8750,100,100, ,0, ,11,83.1818, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,0,0,
218362305,2,1,1,16, , , , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1, , , , ,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,1,0,0,0, , , , ,100,100,100,100,100,100,40,60,0,0,0,100,12,66.6667,0,0,0,0,0,0,0,0,8,0.0000,0,0, ,0, ,12,66.6667, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,0,0,
218401549,2,1,1,6, , , , , , , ,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1, , , , ,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0, , , , ,100,100,100,25,100,100,40,100,0,0,0,100,12,63.7500,100,100,100,100,50,25,100,100,8,84.3750,100,50, ,0, ,12,63.7500, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,0,0,
218408328,2,1,1,13, , , , , , , ,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0, , , , ,100,100,100,25,100,100,40,100,100,100, ,50,11,83.1818,100,100,50,100,75,25,100,100,8,81.2500,0,0, ,0, ,11,83.1818, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,0,0,
219061507,3,1,1,16, , , , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0, , ,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0, , , , ,100,100,100,100,100,100,20,15,100,100, ,50,11,80.4545,100,100,100,100,75,100,100,100,8,96.8750,100,50, ,0, ,11,80.4545, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,0,0,
219113806,3,1,1,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,1,0,0,0,0,1,0, , , , ,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,100,50, ,0, ,10,0.0000, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,0,0,
219116358,3,1,1,4, , , , , , , ,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0, , ,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0, , , , ,100,100,100,50,50,100,60,75,50, ,100,100,11,80.4545,100,100,100,100,100,100,100,100,8,100.0000,100,50, ,0, ,11,80.4545, , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,1,0,0,0,
220610058,4,2,1,1, , , , , , , ,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0, , ,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0, , , , ,100,50,100,50,100,100,80,55,100,100, ,50,11,80.4545,100,100,0,50,0,50,100,100,8,62.5000,0,0, ,0, ,11,80.4545, , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,
221001498,4,2,1,14, , , , , , , ,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0, , ,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0, , , , ,100,50,100,100,100,100,60,70,100,100, ,100,11,89.0909,100,100,100,100,100,100,100,100,8,100.0000,100,50, ,0, ,11,89.0909, , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,
221282994,4,2,1,5, , , , , , , ,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0, , ,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0, , , , ,100,100,100,50,50,100,40,75,100,100, ,100,11,83.1818,100,100,100,100,50,50,50,100,8,81.2500,100,50, ,0, ,11,83.1818, , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,
222282460,5,2,1,1, , , , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0, , ,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0, , , , ,100,100,100,100,100,100,20,70,100,100, ,100,11,90.0000,100,100,100,100,75,100,100,100,8,96.8750,100,100, ,0, ,11,90.0000, , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,
222408780,5,2,1,13, , , , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0, , , , ,100,100,100,100,100,100,100,100,100,100, ,50,11,95.4545,100,100,50,100,75,100,100,100,8,90.6250,100,50, ,0, ,11,95.4545, , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,
223443093,6,2,1,4, , , , , , , ,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0, , ,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0, , , , ,100,100,100,100,100,100,80,15,100,100, ,75,11,88.1818,100,100,50,100,75,100,100,100,8,90.6250,0,0, ,0, ,11,88.1818, , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,
223551403,6,2,1,13, , , , , , , ,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0, , ,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0, , , , ,100,50,50,25,100,100,100,85,100,100, ,75,11,80.4545,100,100,100,100,100,50,100,100,8,93.7500,100,100, ,0, ,11,80.4545, , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,
223702068,6,2,1,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,1,0, , , , , , , , , ,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,100,50, ,0, ,10,0.0000, , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,
224227122,7,3,2,1, , , , , , , ,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1, , , , ,1,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,1,0,0,0, , , , ,100,0,0,0,0,0,20,0,0,0,0,25,12,12.0833,0,0,0,0,0,0,0,0,8,0.0000,0,0, ,0, ,12,12.0833, , , , , , , , , , , , , , , , , , ,0,1,0, , , , , , , , ,
