segment,group,metric_id,metric,score,monthly_scores,is_group_score
branch,INITIAL GREET,wInitialgreet,INITIAL GREET OVERALL,87.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(40.0), 'JUL-2025': np.float64(90.0), 'AUG-2025': np.float64(90.0), 'SEP-2025': np.float64(90.0), 'OCT-2025': np.float64(90.0)}",True
branch,INITIAL GREET,iQ2a,Q2a.Person to greet at desk,87.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(0.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,INITIAL GREET,iQ2b,Q2b.Time taken to greet,93.8,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,INITIAL GREET,iQ2c,Q2c.Reasons for delay,,"{'MAR-2025': nan, 'APR-2025': nan, 'MAY-2025': nan, 'JUN-2025': nan, 'JUL-2025': nan, 'AUG-2025': nan, 'SEP-2025': nan, 'OCT-2025': nan}",False
branch,INITIAL GREET,iQ2d,Q2d.Was Greeted or Not,87.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(0.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,INITIAL GREET,iQ2e,Q2e.Greeting with Smile / Gratitude,68.8,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(50.0), 'OCT-2025': np.float64(50.0)}",False
branch,INITIAL GREET,iQ2f,Q2f.Sales Consultant Appearance,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION INTERACTION,wCONSULTANTINTERACTION,SALES CONSULTATION INTERACTION OVERALL,58.5,"{'MAR-2025': np.float64(67.7), 'APR-2025': np.float64(49.6), 'MAY-2025': np.float64(55.8), 'JUN-2025': np.float64(60.0), 'JUL-2025': np.float64(63.1), 'AUG-2025': np.float64(56.9), 'SEP-2025': np.float64(58.1), 'OCT-2025': np.float64(56.9)}",True
branch,SALES CONSULTATION INTERACTION,iQ3a,Q3a.SC's Manners throughout discussion,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3b,Q3b.Did SC Recheck/confirm the customer details - Appointment Customers,50.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(0.0), 'MAY-2025': nan, 'JUN-2025': nan, 'JUL-2025': nan, 'AUG-2025': nan, 'SEP-2025': nan, 'OCT-2025': nan}",False
branch,SALES CONSULTATION INTERACTION,iQ3c,Q3c.Did SC ask personal information? - Walking Customers,80.0,"{'MAR-2025': nan, 'APR-2025': nan, 'MAY-2025': nan, 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(0.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3d,Q3d.Did SC Personalise the Discussion,62.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(50.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(25.0), 'OCT-2025': np.float64(25.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3e,Q3e.SC asked the qualifications questions?,18.8,"{'MAR-2025': np.float64(10.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(10.0), 'JUN-2025': np.float64(20.0), 'JUL-2025': np.float64(10.0), 'AUG-2025': np.float64(20.0), 'SEP-2025': np.float64(10.0), 'OCT-2025': np.float64(20.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3f,Q3f.Did SC asked all required information from customer?,16.2,"{'MAR-2025': np.float64(20.0), 'APR-2025': np.float64(20.0), 'MAY-2025': np.float64(10.0), 'JUN-2025': np.float64(10.0), 'JUL-2025': np.float64(10.0), 'AUG-2025': np.float64(20.0), 'SEP-2025': np.float64(20.0), 'OCT-2025': np.float64(20.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3g,Q3g.Did SC offer water/beverage?,75.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(0.0), 'JUN-2025': np.float64(0.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3i,Q3i.SC's attentiveness,71.9,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(25.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(25.0), 'AUG-2025': np.float64(25.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3j,Q3j.Did SC convince to buy early?,50.0,"{'MAR-2025': np.float64(50.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(50.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(50.0), 'OCT-2025': np.float64(50.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3k,Q3k.Did SC asked Spouse Preference?,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3l,Q3l.Did SC Summarize customer needs,34.4,"{'MAR-2025': np.float64(50.0), 'APR-2025': np.float64(0.0), 'MAY-2025': np.float64(50.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(25.0), 'AUG-2025': np.float64(25.0), 'SEP-2025': np.float64(50.0), 'OCT-2025': np.float64(25.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3m,Q3m.SC's frendiliness ,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION INTERACTION,iQ3n,Q3n.Did SC offer Business Card?,37.5,"{'MAR-2025': np.float64(50.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(0.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(0.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(0.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION KNOWLEDGE,wCONSULTANTKNOWLEDGE,SALES CONSULTATION KNOWLEDGE OVERALL,80.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(53.8), 'MAY-2025': np.float64(88.9), 'JUN-2025': np.float64(88.9), 'JUL-2025': np.float64(52.5), 'AUG-2025': np.float64(78.8), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(81.2)}",True
branch,SALES CONSULTATION KNOWLEDGE,iQ4a,Q4a.Did SC Stated Advance vs. Comp.?,62.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(0.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(50.0)}",False
branch,SALES CONSULTATION KNOWLEDGE,iQ4b,Q4b.SC's Manners in Explanation,87.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION KNOWLEDGE,iQ4c,Q4c.DiD SC explained all features/brochure/other information?,85.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(80.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(20.0), 'AUG-2025': np.float64(80.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION KNOWLEDGE,iQ4d,Q4d.Did SC built Trust?,81.2,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION KNOWLEDGE,iQ4e,Q4e.Was SC logical and sensible?,87.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION KNOWLEDGE,iQ4f,Q4f.Did SC offer Test Drive?,50.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(0.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(0.0), 'AUG-2025': np.float64(0.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(0.0)}",False
branch,SALES CONSULTATION KNOWLEDGE,iQ4g,Q4g.Did SC convince for Test Drive?,75.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': nan, 'MAY-2025': np.float64(0.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': nan, 'AUG-2025': nan, 'SEP-2025': np.float64(100.0), 'OCT-2025': nan}",False
branch,SALES CONSULTATION KNOWLEDGE,iQ4h,Q4h.SC's clarity about vehicle's immediate availability,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,SALES CONSULTATION KNOWLEDGE,iQ4i,Q4i.Did SC explain the booking process?,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,CLOSING / FINANCE / DOCUMENTATION,wClosing,CLOSING / FINANCE / DOCUMENTATION OVERALL,51.8,"{'MAR-2025': np.float64(78.6), 'APR-2025': np.float64(32.9), 'MAY-2025': np.float64(77.1), 'JUN-2025': np.float64(52.9), 'JUL-2025': np.float64(21.4), 'AUG-2025': np.float64(32.9), 'SEP-2025': np.float64(40.0), 'OCT-2025': np.float64(78.6)}",True
branch,CLOSING / FINANCE / DOCUMENTATION,iQ5a,Q5a.Did SC promoted service department?,75.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,CLOSING / FINANCE / DOCUMENTATION,iQ5b,Q5b.Did SC explain vehicle pricing?,43.8,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(0.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(0.0), 'JUL-2025': np.float64(0.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(0.0), 'OCT-2025': np.float64(100.0)}",False
branch,CLOSING / FINANCE / DOCUMENTATION,iQ5c,Q5c.Did SC explain values of freebies/offers?,50.0,"{'MAR-2025': np.float64(50.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(50.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(50.0), 'OCT-2025': np.float64(50.0)}",False
branch,CLOSING / FINANCE / DOCUMENTATION,iQ5d,Q5d.SC's clarifies on Bank/Finance eligibility,50.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(0.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(0.0), 'AUG-2025': np.float64(0.0), 'SEP-2025': np.float64(0.0), 'OCT-2025': np.float64(100.0)}",False
branch,CLOSING / FINANCE / DOCUMENTATION,iQ5e,Q5e.Did SC explain the finance/lease/promotional offers,62.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(0.0), 'AUG-2025': np.float64(0.0), 'SEP-2025': np.float64(50.0), 'OCT-2025': np.float64(100.0)}",False
branch,CLOSING / FINANCE / DOCUMENTATION,iQ5f,Q5f.Did SC give reasons for no finance eligibility?,,"{'MAR-2025': nan, 'APR-2025': nan, 'MAY-2025': nan, 'JUN-2025': nan, 'JUL-2025': nan, 'AUG-2025': nan, 'SEP-2025': nan, 'OCT-2025': nan}",False
branch,CLOSING / FINANCE / DOCUMENTATION,iQ5g,Q5g.How SC respond in case of object to buy Chery,50.0,"{'MAR-2025': np.float64(50.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(50.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(50.0), 'OCT-2025': np.float64(50.0)}",False
branch,CLOSING / FINANCE / DOCUMENTATION,iQ5h,Q5h.Did SC close conversation in positive way?,31.2,"{'MAR-2025': np.float64(50.0), 'APR-2025': np.float64(30.0), 'MAY-2025': np.float64(40.0), 'JUN-2025': np.float64(20.0), 'JUL-2025': np.float64(0.0), 'AUG-2025': np.float64(30.0), 'SEP-2025': np.float64(30.0), 'OCT-2025': np.float64(50.0)}",False
branch,FACILITIES IN SHOWROOM,wFacilityEnvironment,FACILITIES IN SHOWROOM OVERALL,95.3,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(95.8), 'MAY-2025': np.float64(95.8), 'JUN-2025': np.float64(95.8), 'JUL-2025': np.float64(95.8), 'AUG-2025': np.float64(87.5), 'SEP-2025': np.float64(95.8), 'OCT-2025': np.float64(95.8)}",True
branch,FACILITIES IN SHOWROOM,iQ6a,Q6a.Appearance of sales area,93.8,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,FACILITIES IN SHOWROOM,iQ6c,Q6c.Visible Amenities,78.1,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(75.0), 'MAY-2025': np.float64(75.0), 'JUN-2025': np.float64(75.0), 'JUL-2025': np.float64(75.0), 'AUG-2025': np.float64(75.0), 'SEP-2025': np.float64(75.0), 'OCT-2025': np.float64(75.0)}",False
branch,FACILITIES IN SHOWROOM,iQ6d,Q6d.Appearance of seating area,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,FACILITIES IN SHOWROOM,iQ6e,Q6e.Toliet Facilities,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,FACILITIES IN SHOWROOM,iQ6f,Q6f.Car Display Quality,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,FACILITIES IN SHOWROOM,iQ6g,Q6g.Vehicle Inventory at Showroom,100.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,POST VISIT COMMUNICATION/FOLLOW UP,wFollowup,POST VISIT COMMUNICATION/FOLLOW UP OVERALL,32.1,"{'MAR-2025': np.float64(13.3), 'APR-2025': np.float64(6.7), 'MAY-2025': np.float64(70.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(60.0), 'AUG-2025': np.float64(6.7), 'SEP-2025': np.float64(0.0), 'OCT-2025': np.float64(50.0)}",True
branch,POST VISIT COMMUNICATION/FOLLOW UP,iQ8a,Q8a.Did SC followup?,50.0,"{'MAR-2025': np.float64(0.0), 'APR-2025': np.float64(0.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(0.0), 'SEP-2025': np.float64(0.0), 'OCT-2025': np.float64(100.0)}",False
branch,POST VISIT COMMUNICATION/FOLLOW UP,iQ8b,Q8b.Time taken for followup,0.0,"{'MAR-2025': np.float64(0.0), 'APR-2025': np.float64(0.0), 'MAY-2025': nan, 'JUN-2025': nan, 'JUL-2025': nan, 'AUG-2025': np.float64(0.0), 'SEP-2025': np.float64(0.0), 'OCT-2025': nan}",False
branch,POST VISIT COMMUNICATION/FOLLOW UP,iQ8c,Q8c.Closing Conversation of a Followup Call,17.5,"{'MAR-2025': np.float64(40.0), 'APR-2025': np.float64(20.0), 'MAY-2025': np.float64(40.0), 'JUN-2025': np.float64(0.0), 'JUL-2025': np.float64(20.0), 'AUG-2025': np.float64(20.0), 'SEP-2025': np.float64(0.0), 'OCT-2025': np.float64(0.0)}",False
branch,OVERALL IMPRESSION,wOverallImpression,OVERALL IMPRESSION OVERALL,75.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(56.2), 'MAY-2025': np.float64(93.8), 'JUN-2025': np.float64(68.8), 'JUL-2025': np.float64(37.5), 'AUG-2025': np.float64(75.0), 'SEP-2025': np.float64(93.8), 'OCT-2025': np.float64(75.0)}",True
branch,OVERALL IMPRESSION,iQ7a,Q7a.Overall Experience,71.9,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(75.0), 'JUN-2025': np.float64(75.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(75.0), 'SEP-2025': np.float64(75.0), 'OCT-2025': np.float64(75.0)}",False
branch,OVERALL IMPRESSION,iQ7c,Q7c.Overall Sales Process,87.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(100.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,OVERALL IMPRESSION,iQ7d,Q7d.Was SC convincing and logical?,62.5,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(50.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(0.0), 'AUG-2025': np.float64(50.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(50.0)}",False
branch,OVERALL IMPRESSION,iQ7f,Q7f.Likelihood to return to delarship,78.1,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(75.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(50.0), 'JUL-2025': np.float64(50.0), 'AUG-2025': np.float64(75.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(75.0)}",False
branch,PARKING / GUIDANCE AT ENTRY,wFacilityEnvironment,PARKING / GUIDANCE AT ENTRY OVERALL,95.3,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(95.8), 'MAY-2025': np.float64(95.8), 'JUN-2025': np.float64(95.8), 'JUL-2025': np.float64(95.8), 'AUG-2025': np.float64(87.5), 'SEP-2025': np.float64(95.8), 'OCT-2025': np.float64(95.8)}",True
branch,PARKING / GUIDANCE AT ENTRY,iQ1a,Q1a.Parking Guidance - Appointment Customers,33.3,"{'MAR-2025': np.float64(0.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(0.0), 'JUL-2025': nan, 'AUG-2025': nan, 'SEP-2025': np.float64(0.0), 'OCT-2025': np.float64(0.0)}",False
branch,PARKING / GUIDANCE AT ENTRY,iQ1b,Q1b.Parking Guidance - Walking Customers,80.0,"{'MAR-2025': nan, 'APR-2025': nan, 'MAY-2025': nan, 'JUN-2025': np.float64(0.0), 'JUL-2025': np.float64(100.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
branch,PARKING / GUIDANCE AT ENTRY,iQ1c,Q1c.Parking Availability,75.0,"{'MAR-2025': np.float64(100.0), 'APR-2025': np.float64(100.0), 'MAY-2025': np.float64(100.0), 'JUN-2025': np.float64(0.0), 'JUL-2025': np.float64(0.0), 'AUG-2025': np.float64(100.0), 'SEP-2025': np.float64(100.0), 'OCT-2025': np.float64(100.0)}",False
